id;predetermined;code;name;address;description
1;false;Internal;Product Utah violet;Upgradable client-driven Producer;Checking Account
2;true;Upgradable circuit Analyst;SCSI Island;payment mindshare;mobile Wyoming
3;false;deposit Total Executive;Interactions Outdoors;Incredible Sausages;protocol
4;false;Tuna deliver;1080p Auto Loan Account;Tactics;deliver
5;false;Shirt;Credit Card Account;HTTP parse granular;cross-platform
6;false;repurpose Bacon;Argentine Peso;Borders;contingency
7;true;customized experiences;Unbranded Frozen Soap Lesotho;Vermont;Barbados Dollar Wallis and Futuna
8;true;Qatar solid state;Cordoba Oro;South Georgia and the South Sandwich Islands Streamlined;vertical
9;false;Chief Lead experiences;COM;bypass Generic Vision-oriented;driver Computer
10;false;connect Avon;panel withdrawal mobile;Handmade Plastic Mouse target haptic;Borders optical
