id;predetermined;code;name;description
1;false;withdrawal;compress Licensed Fantastic Soft Pants;impactful
2;true;Berkshire invoice;Universal Unbranded Cotton Mouse Afghanistan;Awesome
3;true;Tactics;New Hampshire;users
4;true;empower orchid;Accounts Keyboard;policy New Taiwan Dollar users
5;true;Research;strategy;Silver input
6;true;Rustic Concrete Tuna parallelism;Convertible Marks Checking Account;zero defect
7;false;Handmade Rubber Chicken Communications;multi-byte;extensible copying withdrawal
8;false;Malawi;Kids;redundant haptic Soap
9;true;calculate;synthesize Lebanese Pound;Representative synergies Personal Loan Account
10;false;Principal Concrete Hills;Factors Brazilian Real;orchid
