id;date;amount;term;time_unit;decription;way_pay_id
1;2020-04-26T13:48:26;18398;62488;YEAR;core Checking Account;1
2;2020-04-26T18:44:37;1714;13119;MONTH;Optimization overriding back up;2
3;2020-04-26T13:34:21;44141;32213;DAY;Factors Alabama Accountability;3
4;2020-04-26T03:42:39;20882;50252;DAY;Keyboard;4
5;2020-04-26T19:34:28;30137;37440;DAY;empower Functionality;5
6;2020-04-26T07:28:51;12291;74849;DAY;Dominican Republic Key Bedfordshire;6
7;2020-04-25T23:52:36;87885;52285;YEAR;Garden;7
8;2020-04-26T14:01:57;53459;30005;DAY;1080p fuchsia whiteboard;8
9;2020-04-26T21:23:35;72944;70263;DAY;Slovenia;9
10;2020-04-26T17:03:16;44689;58030;YEAR;connecting Awesome Rubber Fish connecting;10
