id;business_name;address;phone;movil_phone;establishment_code;emission_point_code
1;Digitized North Carolina;user-facing invoice;1-336-820-6349;Principal Granite;109;824
2;Shore Central;Zimbabwe eyeballs override;953.521.6125 x9622;programming;412;94
3;hacking Regional payment;quantifying;1-566-292-6233;Data;648;124
4;Rubber transmitting payment;Lesotho Tuna;(594) 501-3521;payment;147;915
5;Islands Mission solution;Practical Books;1-660-781-5966;withdrawal Investment Account Junctions;13;116
6;Future Generic Metal Hat Sri Lanka Rupee;Springs Handcrafted Steel Pizza;415.650.3835;Home Loan Account;650;937
7;green Bacon;Guatemala grid-enabled;781-977-5566 x1125;Wooden;807;420
8;Soft parse;Group back up;956.203.3823;blue Configuration target;667;958
9;Valley;calculate;(295) 488-3950;system engine;950;370
10;bypass convergence Specialist;Chair;1-006-304-6316 x32785;Saint Pierre and Miquelon benchmark Liechtenstein;934;675
