id;main_code;auxiliary_code;barcode;product_type;name;price;attribute_1;attribute_2;attribute_3;iva_id;category_id;sub_category_id
1;Generic Steel Tuna;website calculating;cross-platform support;GOOD;Legacy Dynamic magenta;46955;withdrawal Refined Metal Car Division;Steel;Kina networks;1;1;1
2;Metical partnerships;Infrastructure;Internal compressing;GOOD;Malagasy Ariary Gloves;54278;Ball Australian Dollar;Bike;digital;2;2;2
3;Oklahoma;aggregate throughput Practical;mobile distributed Dynamic;SERVICE;Steel;54741;solutions;homogeneous withdrawal;invoice;3;3;3
4;Liaison;Keyboard;Central Ergonomic Concrete Ball;GOOD;rich multi-byte online;90340;project Stand-alone Computer;Arizona Buckinghamshire;Practical AGP Implementation;4;4;4
5;wireless navigate grey;solution Automotive;e-commerce Ergonomic Concrete Salad;SERVICE;Handcrafted;12655;convergence;back-end Automotive internet solution;Zimbabwe Small Wooden Chicken Balboa US Dollar;5;5;5
6;Mobility multi-byte Incredible Steel Soap;IB;Martinique Industrial Rustic;GOOD;National;80631;Practical Chief Computers;International online;Home Loan Account Practical Frozen Shirt Bedfordshire;6;6;6
7;capacity invoice e-services;Security Ramp Ball;project Assistant;GOOD;Virtual invoice index;50127;moratorium Concrete;capability transmit calculate;global;7;7;7
8;Paradigm;Computers Home Loan Account;Brunei Dollar Electronics;GOOD;Savings Account index benchmark;51148;portals Wooden;Concrete Pike Rwanda;Credit Card Account Representative;8;8;8
9;markets;Specialist;mint green;SERVICE;Granite back-end Specialist;6153;e-business bypass;Open-architected Orchard Agent;Technician Intelligent Concrete Gloves Web;9;9;9
10;redefine;efficient Jersey Producer;Triple-buffered revolutionize JBOD;SERVICE;efficient SCSI;17767;Serbia;Massachusetts ROI;Checking Account Washington Cross-platform;10;10;10
