id;name;prefix;document_type;sequential
1;invoice infomediaries;target Fantastic Universal;REFERRAL_GUIDE;33767915
2;hacking parse;neural El Salvador Colon US Dollar;REFERRAL_GUIDE;665271
3;azure Auto Loan Account optical;Aruban Guilder;CREDIT_NOTE;75807976
4;hard drive;Down-sized fault-tolerant Rustic;REFERRAL_GUIDE;89722319
5;Multi-tiered Technician Buckinghamshire;maximize invoice;CREDIT_NOTE;97470644
6;Handmade;envisioneer;REFERRAL_GUIDE;93343468
7;Games;Personal Loan Account;DEBIT_NOTE;88757268
8;Home Loan Account;Pataca;DEBIT_NOTE;7218417
9;bluetooth;Buckinghamshire;DEBIT_NOTE;87803867
10;indigo Unbranded;New Mexico Unbranded Frozen Pants;INVOICE;54815993
