id;predetermined;code;name;description
1;false;vortals;open-source;lavender ivory bypassing
2;true;applications Practical Rubber Chair Fresh;transmitting XML orchestrate;Nevada enterprise Belarussian Ruble
3;false;transmitting;Nevada;Regional
4;false;Georgia Games;Persevering Program;mesh fresh-thinking Designer
5;false;front-end Chicken violet;Home Loan Account deposit;HDD
6;false;visionary;Cheese Front-line;plug-and-play
7;true;Specialist;Rustic California payment;Product Communications Berkshire
8;true;District withdrawal;schemas;Liechtenstein
9;false;XML United States of America;SQL Sleek Steel Sausages;azure
10;false;feed driver;leading-edge Fresh;tertiary
