id;main_code;auxiliary_code;description;quantity;unit_price;discount;total
1;primary Uzbekistan Sum;deposit Plastic;Inlet Home Loan Account auxiliary;91506;67196;72219;17567
2;hacking Rubber;integrate end-to-end;optimal;3821;30412;38133;89047
3;GB motivating Response;USB plug-and-play Lead;whiteboard Future-proofed;73299;48901;7410;15469
4;Paradigm;Nebraska Eritrea;panel SAS redundant;15531;63344;87158;65071
5;New Jersey Points Ball;Savings Account;navigate Books Proactive;19483;76563;61970;22601
6;Intelligent Won;utilize navigate;Unions;95232;57065;12838;14963
7;markets;yellow lavender Lane;content-based magenta frame;95323;91417;16895;35832
8;salmon Afghanistan Refined Soft Computer;Specialist;copying channels Balboa US Dollar;88677;6715;41459;50871
9;asynchronous Berkshire;Steel generate solid state;Awesome;22697;43512;47916;73119
10;Rustic Rubber Mouse Avon SQL;Orchestrator Kentucky;Metal District;9914;47935;11926;83003
