id;identification;business_name;tradename;address;phone;movil_phone;special_taxpayer_number;is_keep_accounting;logo;token;mail
1;Intelligent Cotton Gloves frame deposit;infrastructure microchip;payment Ergonomic;red Credit Card Account Ergonomic;(638) 617-8553;Customer Summit;22936;true;bus Open-source;IKEY_2032;Generic Frozen Towels ADP
2;Avon;Sharable;Creative;overriding cross-platform;756-369-5458 x25422;hack Multi-lateral Nevada;21321;false;Licensed;IKEY_2032;incubate
3;Garden East Caribbean Dollar;Chicken Executive;Street;Generic Forward eyeballs;(301) 804-6879;payment Intelligent 1080p;66252;true;plum;IKEY_2032;feed
4;deposit Engineer;payment synthesizing;website;recontextualize;994-707-1049 x90501;driver Generic Frozen Pizza Salad;75943;false;Planner Shirt;IKEY_2032;Assistant virtual enterprise
5;ivory interface olive;Supervisor;Idaho Concrete;Pakistan withdrawal Fords;(593) 460-5893;Representative leading edge;78083;false;seize Home Loan Account;ALADDIN_E_TOKEN_PRO;Configuration
6;SSL;green synthesizing;empower;JBOD;(438) 420-3034 x6588;Handmade Plastic Pants synergistic embrace;61128;false;background Buckinghamshire IB;BIO_PASS_300;Phased
7;feed deposit;Canadian Dollar invoice;New Zealand Dollar Bermudian Dollar (customarily known as Bermuda Dollar);Baby SCSI;217-856-6368 x817;SCSI Investment Account;72367;false;Oklahoma;ALADDIN_E_TOKEN_PRO;Incredible
8;sky blue Integration;Idaho Refined;alarm hacking methodical;SAS Senior;(207) 990-6334;Centralized;26328;false;Concrete;BIO_PASS_300;programming
9;SMS;orange;Credit Card Account XSS;Granite Small Rubber Salad;1-065-089-6182 x365;withdrawal Illinois;72571;true;Lithuania Mountains Practical;ALADDIN_E_TOKEN_PRO;backing up
10;Falls;Stravenue Savings Account;Hill Bahrain;Credit Card Account transmitter core;399.693.3843;e-commerce hacking;25560;true;Albania;ALADDIN_E_TOKEN_PRO;withdrawal
