id;code;description;percentage;tax_type
1;Soft;Pre-emptive portals Home Loan Account;7287;IVA
2;Djibouti;Fantastic;61952;IVA
3;Gourde US Dollar bypassing architectures;Gorgeous Cotton Table;57298;ICE
4;Gorgeous Small deliverables;Facilitator;53844;IVA
5;Computer;Corners olive Home Loan Account;69807;ICE
6;Progressive red Fresh;connect RAM;71461;ICE
7;Investment Account AI Intelligent Wooden Mouse;Computers;53518;ICE
8;Hawaii Specialist Licensed Wooden Shirt;Russian Federation Granite;11795;ICE
9;Licensed Granite Soap;multi-byte;59071;IVA
10;hacking Bacon bifurcated;FTP systemic alliance;29392;IVA
