id;business_name;tradename;identification_type;is_client;is_provider;address;phone;movil_phone;email
1;Isle;Fantastic;IDENTIFICATION_CARD;true;true;Money Market Account backing up;(737) 062-2199 x772;Auto Loan Account;Arnaldo.Olson71@hotmail.com
2;Berkshire users backing up;drive;IDENTIFICATION_CARD;false;true;Automotive;(955) 396-0459 x69472;Buckinghamshire Refined Fresh Towels Chilean Peso Unidades de fomento;Ivy65@yahoo.com
3;Philippines;standardization tan deposit;IDENTIFICATION_CARD;true;false;Graphic Interface middleware;823.334.1232;Handcrafted Frozen Shoes generating strategize;Clotilde6@yahoo.com
4;protocol;leverage copying architectures;RUC;false;false;Granite;752-325-1250;Refined Cotton Sausages Solomon Islands Dollar;Dave_Heller73@gmail.com
5;Savings Account redundant;monetize THX;RUC;true;true;AGP Pants;733.784.7816;Russian Ruble bypassing transitional;Dudley.Sawayn35@yahoo.com
6;harness interface;Chips;IDENTIFICATION_CARD;false;false;Georgia;(255) 727-3304;Pa'anga;Keaton84@gmail.com
7;communities Personal Loan Account Frozen;Utah;IDENTIFICATION_CARD;true;false;Comoro Franc Small Soft Pizza Dale;308.670.1193;connect;Yasmeen79@gmail.com
8;partnerships Credit Card Account;Reduced;RUC;true;true;capability Uzbekistan aggregate;1-710-532-2494;deposit bricks-and-clicks Object-based;Delaney.Weber@gmail.com
9;Bedfordshire Guadeloupe portals;input success Computer;RUC;false;true;bottom-line hard drive;1-828-485-4785 x029;emulation Ergonomic Gorgeous;Demetris.Koss3@yahoo.com
10;Mandatory invoice;generating content-based;PASSPORT;true;true;Bedfordshire Administrator Manager;1-834-886-3588 x344;Corners;Mylene.Carroll76@yahoo.com
